Calendar_Year,County_Order_Number,County_Name,Jurisdiction,Function_Class,Function_Class_Description,Thru_Lane_Surface,Is_Paved,Truck_Route_Description,Is_FGTS,Is_CFGS,Total_Lane_Miles,Total_Centerline_Miles
2020,1,Adams,5,7,Rural Major Collector,ACP,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,62.454,30.444
2020,1,Adams,5,7,Rural Major Collector,ACP,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,0.094,0.047
2020,1,Adams,5,7,Rural Major Collector,BST,TRUE,Non Truck Route,FALSE,FALSE,0.96,0.48
2020,1,Adams,5,7,Rural Major Collector,BST,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,137.691,70.695
2020,1,Adams,5,7,Rural Major Collector,BST,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,174.35,88.3
2020,1,Adams,5,7,Rural Major Collector,BST,TRUE,"T5 - 20,000 in 60 days",TRUE,TRUE,114.74,57.37
2020,1,Adams,5,7,Rural Major Collector,GRV,FALSE,Non Truck Route,FALSE,FALSE,19.81,10.1
2020,1,Adams,5,7,Rural Major Collector,GRV,FALSE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,5.372,2.686
2020,1,Adams,5,7,Rural Major Collector,GRV,FALSE,"T4 - 100,000 to 300,000",TRUE,TRUE,6.08,3.04
2020,1,Adams,5,7,Rural Major Collector,GRV,FALSE,"T5 - 20,000 in 60 days",TRUE,TRUE,18.1,9.05
2020,1,Adams,5,7,Rural Major Collector,HMA,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,19.816,9.848
2020,1,Adams,5,7,Rural Major Collector,HMA,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,7.76,3.88
2020,1,Adams,5,8,Rural Minor Collector,ACP,TRUE,Non Truck Route,FALSE,FALSE,1,0.5
2020,1,Adams,5,8,Rural Minor Collector,ACP,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,0.52,0.26
2020,1,Adams,5,8,Rural Minor Collector,ACP,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,0.06,0.06
2020,1,Adams,5,8,Rural Minor Collector,BST,TRUE,Non Truck Route,FALSE,FALSE,128.11,64.41
2020,1,Adams,5,8,Rural Minor Collector,BST,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,48.722,26.871
2020,1,Adams,5,8,Rural Minor Collector,BST,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,189.558,98.774
2020,1,Adams,5,8,Rural Minor Collector,BST,TRUE,"T5 - 20,000 in 60 days",TRUE,TRUE,174.075,88.575
2020,1,Adams,5,8,Rural Minor Collector,GRV,FALSE,Non Truck Route,FALSE,FALSE,116.37,60.99
2020,1,Adams,5,8,Rural Minor Collector,GRV,FALSE,"T4 - 100,000 to 300,000",TRUE,TRUE,13.5,7.69
2020,1,Adams,5,8,Rural Minor Collector,GRV,FALSE,"T5 - 20,000 in 60 days",TRUE,TRUE,49.07,25.69
2020,1,Adams,5,8,Rural Minor Collector,HMA,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,6.98,3.49
2020,1,Adams,5,8,Rural Minor Collector,HMA,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,2.6,1.3
2020,1,Adams,5,8,Rural Minor Collector,HMA,TRUE,"T5 - 20,000 in 60 days",TRUE,TRUE,0.4,0.2
2020,1,Adams,5,9,Rural Local Access,ACP,TRUE,Non Truck Route,FALSE,FALSE,3.196,1.598
2020,1,Adams,5,9,Rural Local Access,ACP,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,0.456,0.228
2020,1,Adams,5,9,Rural Local Access,ACP,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,1.8,0.9
2020,1,Adams,5,9,Rural Local Access,BST,TRUE,Non Truck Route,FALSE,FALSE,103.298,52.799
2020,1,Adams,5,9,Rural Local Access,BST,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,2.64,1.32
2020,1,Adams,5,9,Rural Local Access,BST,TRUE,"T4 - 100,000 to 300,000",TRUE,TRUE,21.26,11.04
2020,1,Adams,5,9,Rural Local Access,BST,TRUE,"T5 - 20,000 in 60 days",TRUE,TRUE,41.634,20.817
2020,1,Adams,5,9,Rural Local Access,GRD,FALSE,Non Truck Route,FALSE,FALSE,19.68,10.09
2020,1,Adams,5,9,Rural Local Access,GRD,FALSE,"T5 - 20,000 in 60 days",TRUE,TRUE,2.06,1.03
2020,1,Adams,5,9,Rural Local Access,GRV,FALSE,Non Truck Route,FALSE,FALSE,1703.463,860.066
2020,1,Adams,5,9,Rural Local Access,GRV,FALSE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,0.74,0.37
2020,1,Adams,5,9,Rural Local Access,GRV,FALSE,"T4 - 100,000 to 300,000",TRUE,TRUE,13.95,6.975
2020,1,Adams,5,9,Rural Local Access,GRV,FALSE,"T5 - 20,000 in 60 days",TRUE,TRUE,159.706,86.533
2020,1,Adams,5,9,Rural Local Access,HMA,TRUE,Non Truck Route,FALSE,FALSE,0.98,0.49
2020,1,Adams,5,9,Rural Local Access,HMA,TRUE,"T3 - 300,000 to 4,000,000",TRUE,TRUE,4,2
2020,1,Adams,5,9,Rural Local Access,UNI,FALSE,Non Truck Route,FALSE,FALSE,67.396,34.996
